frame.time_relative,ip.src,ip.dst,_ws.col.protocol,tcp.seq,tcp.ack,tcp.nxtseq,_ws.col.info,mqtt.msg_text,tcp.payload
"0.000000000","192.168.146.112","192.168.146.97","TCP","0","0","1","61932 → 8883 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM",,
"0.000193000","192.168.146.97","192.168.146.112","TCP","0","1","1","8883 → 61932 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM",,
"0.005923000","192.168.146.112","192.168.146.97","TCP","1","1","1","61932 → 8883 [ACK] Seq=1 Ack=1 Win=65536 Len=0",,
"0.006191000","192.168.146.112","192.168.146.97","MQTT","1","1","39","Connect Command",,"102400064d51497364700302ffff001630656a376573753565684d5349387743356750416f6a"
"0.007170000","192.168.146.97","192.168.146.112","MQTT","1","39","5","Connect Ack",,"20020000"
"0.228681000","192.168.146.97","192.168.146.112","TCP","1","39","5","[TCP Retransmission] 8883 → 61932 [PSH, ACK] Seq=1 Ack=39 Win=525312 Len=4",,"20020000"
"0.230260000","192.168.146.112","192.168.146.97","TCP","39","5","39","61932 → 8883 [ACK] Seq=39 Ack=5 Win=65536 Len=0",,
"0.682161000","192.168.146.112","192.168.146.97","TCP","39","5","39","[TCP Dup ACK 7#1] 61932 → 8883 [ACK] Seq=39 Ack=5 Win=65536 Len=0 SLE=1 SRE=5",,
"2.718410000","192.168.146.97","48.218.107.32","TLSv1.2","1","1","51","Application Data",,"170303002d1dd08f5d78f09e8eb8b8ffeac485b0c433a126b20818ad808b4a0800f4dc0e42d3c8eb59f3c95e9142bc4ed3c4"
"3.168722000","192.168.146.97","48.218.107.32","TCP","1","1","51","[TCP Retransmission] 64522 → 443 [PSH, ACK] Seq=1 Ack=1 Win=252 Len=50",,"170303002d1dd08f5d78f09e8eb8b8ffeac485b0c433a126b20818ad808b4a0800f4dc0e42d3c8eb59f3c95e9142bc4ed3c4"
"3.170957000","48.218.107.32","192.168.146.97","TLSv1.2","1","51","40","Application Data",,"17030300226cb09e150abaf724e0d8a277ee9e02991b808f0d60a80a3587e777906584b7e0ae13"
"3.214749000","192.168.146.97","48.218.107.32","TCP","51","40","51","64522 → 443 [ACK] Seq=51 Ack=40 Win=252 Len=0",,
"3.645223000","48.218.107.32","192.168.146.97","TCP","1","51","40","[TCP Spurious Retransmission] 443 → 64522 [PSH, ACK] Seq=1 Ack=51 Win=16384 Len=39",,"17030300226cb09e150abaf724e0d8a277ee9e02991b808f0d60a80a3587e777906584b7e0ae13"
"3.645223000","48.218.107.32","192.168.146.97","TCP","40","51","40","[TCP Dup ACK 11#1] 443 → 64522 [ACK] Seq=40 Ack=51 Win=16384 Len=0 SLE=1 SRE=51",,
"3.645296000","192.168.146.97","48.218.107.32","TCP","51","40","51","[TCP Dup ACK 12#1] 64522 → 443 [ACK] Seq=51 Ack=40 Win=252 Len=0 SLE=1 SRE=40",,
"5.075435000","192.168.146.112","192.168.146.97","MQTT","39","5","49","Subscribe Request (id=1) [ecg]",,"82080001000365636700"
"5.075435000","192.168.146.112","192.168.146.97","TCP","39","5","49","[TCP Retransmission] 61932 → 8883 [PSH, ACK] Seq=39 Ack=5 Win=65536 Len=10",,"82080001000365636700"
"5.075601000","192.168.146.97","192.168.146.112","TCP","5","49","5","8883 → 61932 [ACK] Seq=5 Ack=49 Win=525312 Len=0 SLE=39 SRE=49",,
"5.076424000","192.168.146.97","192.168.146.112","MQTT","5","49","10","Subscribe Ack (id=1)",,"9003000100"
"5.292726000","192.168.146.97","192.168.146.112","TCP","5","49","10","[TCP Retransmission] 8883 → 61932 [PSH, ACK] Seq=5 Ack=49 Win=525312 Len=5",,"9003000100"
"5.294739000","192.168.146.112","192.168.146.97","TCP","49","10","49","61932 → 8883 [ACK] Seq=49 Ack=10 Win=65536 Len=0",,
"6.204881000","192.168.146.112","192.168.146.97","TCP","49","10","49","[TCP Dup ACK 21#1] 61932 → 8883 [ACK] Seq=49 Ack=10 Win=65536 Len=0 SLE=5 SRE=10",,
"15.417719000","192.168.146.187","192.168.146.97","TCP","1","1","2","51900 → 8883 [FIN, ACK] Seq=1 Ack=1 Win=6396 Len=0",,
"15.417816000","192.168.146.97","192.168.146.187","TCP","1","2","1","8883 → 51900 [ACK] Seq=1 Ack=2 Win=64415 Len=0",,
"15.418081000","192.168.146.97","192.168.146.187","TCP","1","2","2","8883 → 51900 [FIN, ACK] Seq=1 Ack=2 Win=64415 Len=0",,
